Name,Team,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,WAR,OPS+,PA_scaled,Num,BIP%,PutAway%,HR_scaled,R_scaled,RBI_scaled,Num_Ordi,Team_Ordi,CPBL
Shea Langeliers,ATH,6.9,19.7,0.26,0.29,0.277,0.325,0.536,0.364,132.0,0.6000000000000001,20.6,3.9,121.46012847712404,3.228395061728395,,68.16868978567967,33.430289349109984,35.56405353728489,83.74760994263862,82.60038240917783,3.0,2.0,0
Vladimir Guerrero Jr.,TOR,11.899999999999999,13.8,0.175,0.313,0.292,0.381,0.467,0.366,137.0,-2.6,27.1,3.8,122.64437040170462,4.197530864197531,,71.44851150276486,27.90882392176157,20.294117647058822,84.70588235294117,74.11764705882354,11.0,30.0,0
Manny Machado,SDP,8.1,19.3,0.185,0.307,0.275,0.335,0.46,0.341,123.0,-0.6,17.9,3.8,107.07961502588299,4.185185185185185,,73.2716716902716,43.78217422848383,23.893805309734514,80.53097345132744,84.070796460177,52.0,24.0,0
Jarren Duran,BOS,8.6,24.3,0.185,0.326,0.256,0.332,0.442,0.335,111.0,7.2,16.4,3.8,102.04442306051939,4.296296296296297,,63.66547645711223,44.60649341839453,13.793103448275861,74.13793103448276,72.41379310344827,52.0,5.0,0
Bo Bichette,TOR,6.4,14.499999999999998,0.172,0.342,0.311,0.357,0.483,0.361,134.0,-3.2,21.7,3.8,119.02693664246593,3.876543209876543,,78.5028699787831,30.89523720166186,17.197452229299362,74.52229299363057,89.80891719745223,23.0,30.0,0
Freddie Freeman,LAD,9.6,20.4,0.207,0.342,0.295,0.367,0.502,0.37,139.0,-1.7,27.6,3.8,126.41573373215418,3.8703703703703702,,66.23257311702436,43.21201349410516,22.966507177033492,77.51196172248804,86.1244019138756,9.0,15.0,0
Eugenio Su獺rez,2 Tms,7.000000000000001,29.799999999999997,0.298,0.243,0.228,0.298,0.526,0.347,125.0,-3.4,15.8,3.8,110.97429765433814,4.055555555555555,,55.90368382291588,55.10452542255925,44.74885844748859,83.10502283105023,107.76255707762557,6.0,0.0,0
Ceddanne Rafaela,BOS,4.8,19.900000000000002,0.165,0.289,0.249,0.295,0.414,0.307,91.0,3.7,-2.1999999999999993,3.8,84.39894578531812,3.623456790123457,,72.05810671829646,39.49635287793214,16.35434412265758,85.8603066439523,64.39522998296422,31.0,5.0,0
Matt Chapman,SFG,13.3,23.599999999999998,0.198,0.27,0.231,0.34,0.43,0.336,118.0,0.7,12.3,3.7,101.72256339844598,3.302469135802469,,64.29170704368872,46.67023331630677,23.55140186915888,85.23364485981308,68.41121495327103,46.0,26.0,0
William Contreras,MIL,12.7,18.2,0.14,0.299,0.26,0.355,0.399,0.332,113.0,-3.3,7.2,3.6,99.17129611523845,4.067901234567901,,71.68721363606623,39.130593990991855,15.477996965098635,81.03186646433991,69.19575113808801,11.0,17.0,0
Sal Frelick,MIL,7.9,13.5,0.117,0.317,0.288,0.351,0.405,0.332,114.0,2.6,12.4,3.6,99.33222594627513,3.6666666666666665,,72.84762513578828,28.357262135348165,12.121212121212121,76.76767676767676,63.63636363636363,2.0,17.0,0
